代码,名称,交易日期,前收盘价,开盘价,最高价,最低价,收盘价,涨跌,涨跌幅(%),已计息天数,应计利息,剩余期限(年),当期收益率(%),纯债到期收益率(%),纯债价值,纯债溢价,纯债溢价率(%),转股价格,转股比例,转换价值,转股溢价,转股溢价率(%),转股市盈率,转股市净率,套利空间,平价/底价,期限(年),发行日期,票面利率/发行参考利率(%),交易市场,债券类型,债券最新评级,债券余额
113685.SH,升24转债,2024/11/14,115.8000,115.5000,118.8600,115.0000,116.2820,0.4820,0.41623488773747841100,154,0.084383561644,5.58082191780821917808,0.17199566570922412800,0.0341,93.80706564425,22.474934355749994,23.958679659571697,12.890,7.7579519006982157,114.0418929402637704,2.2401070597362296,1.96428435374149656700,31.8561,2.1659,-2.2401070597362296,121.57068570159892,6.0000,2024/06/14,0.2000,上交所,可转债,AA-,28.0
132026.SH,G三峡EB2,2024/11/14,125.8310,126.0000,126.5010,125.6010,126.2630,0.4320,0.34331762443277093900,167,0.045753424658,2.54520547945205479452,0.07919976556869391700,-5.8706,102.65847030023,23.604529699770012,22.993260693187175,23.140,4.3215211754537597,118.4961106309420916,7.7668893690579084,6.55455215171407733000,17.9550,3.1881,-7.7668893690579084,115.42750470019094,5.0000,2022/05/27,0.1000,上交所,可交换债券(公募),AAA,95.65902856
113589.SH,天创转债,2024/11/14,217.4360,217.6460,219.5290,216.5500,218.1640,0.7280,0.33481116282492319600,144,0.710136986301,1.60821917808219178082,0.82506738050274105700,-34.2386,96.470513102579,121.69348689742098,126.14578588176668,12.290,8.1366965012205045,30.1871440195280716,187.9768559804719284,622.7050026954177900,-37.9632,1.3927,-187.9768559804719284,31.29157609789997,6.0000,2020/06/24,0.4000,上交所,可转债,A-,0.66623
123195.SZ,蓝晓转02,2024/11/14,119.8000,121.0000,121.8000,119.6010,120.2000,0.4000,0.33388981636060100200,212,0.348493150685,4.42191780821917808219,0.49916805324459234600,0.1535,93.791675785535,26.408324214464997,28.156362484502928,60.620,1.6496205872649291,91.5044539755856153,28.6955460244143847,31.35972597800612945200,35.2262,7.8876,-28.6955460244143847,97.5613808040072,6.0000,2023/04/17,0.4000,深交所,可转债,A+,5.459849
123128.SZ,首华转债,2024/11/14,93.2890,93.2890,96.6600,92.6930,93.5580,0.2690,0.28835125255925135900,14,0.057534246575,2.96438356164383561644,1.60328352465850060900,6.7771,102.41445675855,-8.856456758549996,-8.647662682456811,19.610,5.0994390617032126,55.2269250382457930,38.3310749617542070,69.40649861495844863900,-27.8250,1.1825,-38.3310749617542070,53.92493089959706,6.0000,2021/11/01,0.3000,深交所,可转债,AA-,13.790075
113055.SH,成银转债,2024/11/14,129.8850,129.7790,130.9600,129.5010,130.1980,0.3130,0.24098240751433960800,257,0.492876712329,3.29863013698630136986,0.53764266732207868000,-4.9026,103.08722768733,27.110772312670008,26.29886642688527,12.230,8.1766148814390842,129.2722812755519215,0.9257187244480785,0.71609993674889310900,5.0037,0.8549,-0.9257187244480785,125.40087086990334,6.0000,2022/03/03,0.2000,上交所,可转债,AAA,38.00144
113666.SH,爱玛转债,2024/11/14,117.0000,117.0010,119.3060,116.8310,117.2700,0.2700,0.23076923076923076900,266,0.363013698630,4.27595628415300546448,0.42636650464739490100,-0.5066,102.55400584849,14.715994151510003,14.349506905903747,38.790,2.5779840164990977,96.1845836555813354,21.0854163444186646,21.92182524792280889300,15.5209,3.8774,-21.0854163444186646,93.78920195246333,6.0000,2023/02/23,0.3000,上交所,可转债,AA,19.99545
118027.SH,宏图转债,2024/11/14,96.5390,96.5360,97.9600,96.2610,96.7480,0.2090,0.21649281637472938400,353,0.578630136986,4.03825136612021857923,0.62016785876710629700,5.7765,81.939982743949,14.808017256051002,18.071784689440303,62.980,1.5878056525881232,40.3461416322642109,56.4018583677357891,139.7949248327430100,-22.4493,3.3610,-56.4018583677357891,49.23865038920043,6.0000,2022/11/28,0.4000,上交所,可转债,A-,10.08762
123209.SZ,聚隆转债,2024/11/14,134.9600,134.9960,141.3280,134.2810,135.2180,0.2580,0.19116775340841730900,112,0.153424657534,4.69589041095890410959,0.36977325504000946600,-2.8221,90.107370553733,45.110629446266984,50.06319590622892,18.020,5.5493895671476138,134.7946725860155383,0.4233274139844617,0.31405351996706462900,35.0108,2.9236,-0.4233274139844617,149.59339259115825,6.0000,2023/07/26,0.3000,深交所,可转债,A+,2.149152
118015.SH,芯海转债,2024/11/14,110.1930,110.4980,114.0000,110.0000,110.3800,0.1870,0.16970224968918170800,117,0.384657534247,3.68219178082191780822,1.08715346983149121200,2.4427,97.984331614823,12.39566838517699,12.650663816235882,55.670,1.7962996227770792,71.2592060355667325,39.1207939644332675,54.89928409377363253500,-36.8530,7.7752,-39.1207939644332675,72.72510294369012,6.0000,2022/07/21,0.4000,上交所,可转债,A+,4.09975
113062.SH,常银转债,2024/11/14,119.6620,119.2340,120.9000,118.1620,119.8550,0.1930,0.16128762681553041100,61,0.116986301370,3.83561643835616438356,0.58403904718201159700,-2.2398,101.03830107227,18.816698927730002,18.623332664977134,6.890,14.5137880986937591,108.1277213352685051,11.7272786647314949,10.84576510067114091900,5.6610,0.8346,-11.7272786647314949,107.01656717082726,6.0000,2022/09/15,0.2000,上交所,可转债,AAA,59.99693
113576.SH,起步转债,2024/11/14,136.2010,136.6990,138.7940,135.3680,136.4100,0.2090,0.15344968098618952900,219,1.500000000000,1.40273972602739726027,1.83271021186130049100,-10.2315,84.842812330486,51.567187669514,60.77967744473825,1.750,57.1428571428571429,134.8571428571428571,1.5528571428571429,1.15148305084745765900,-17.0762,-45.2211,-1.5528571428571429,158.94940202104257,6.0000,2020/04/10,0.5000,上交所,可转债,B-,1.479
113050.SH,南银转债,2024/11/14,126.4290,126.2340,127.5500,126.0900,126.6000,0.1710,0.13525377880074982800,153,0.503013698630,2.58356164383561643836,0.94786729857819905200,-5.4010,104.1589944607,22.441005539299994,21.544952171909802,8.220,12.1654501216545012,126.2773722627737226,0.3226277372262774,0.25549132947976880800,5.0280,0.7561,-0.3226277372262774,121.23520673043666,6.0000,2021/06/11,0.2000,上交所,可转债,AAA,129.65539
113056.SH,重银转债,2024/11/14,114.4570,114.4500,115.3390,114.1140,114.5970,0.1400,0.12231667787902880600,237,0.649315068493,3.35342465753424657534,0.87262319257921237000,0.1603,107.23253136426,7.364468635739996,6.867756027061889,10.090,9.9108027750247770,93.1615460852329039,21.4354539147670961,23.00890744680851059200,5.5319,0.6241,-21.4354539147670961,86.87806293481114,6.0000,2022/03/23,0.2000,上交所,可转债,AAA,129.99318
123212.SZ,立中转债,2024/11/14,116.9680,116.9680,118.8800,116.5000,117.0200,0.0520,0.04445660351549141600,111,0.152054794521,4.69863013698630136986,0.42727738848060160700,0.1809,98.847145726749,18.17285427325099,18.38480427496374,19.080,5.2410901467505241,102.5157232704402516,14.5042767295597484,14.14834355828220855800,18.8332,1.7761,-14.5042767295597484,103.71136416405243,6.0000,2023/07/27,0.3000,深交所,可转债,AA-,8.997637
127031.SZ,洋丰转债,2024/11/14,112.1080,112.1000,112.4420,111.8000,112.1500,0.0420,0.03746387412138295200,235,0.965753424658,2.35890410958904109589,1.33749442710655372300,1.2028,109.08596017729,3.0640398227100007,2.808830593533966,17.390,5.7504312823461760,75.7906843013225992,36.3593156986774008,47.97333080424886190200,11.1460,1.6123,-36.3593156986774008,69.47794581277475,6.0000,2021/03/25,0.3000,深交所,可转债,AA,9.999329
127025.SZ,冀东转债,2024/11/14,103.4180,103.3990,103.5450,103.3040,103.4490,0.0310,0.02997543947862074300,10,0.041095890411,1.97534246575342465753,1.44998985007104950300,1.9779,103.2473719496,0.20162805040000364,0.19528637542312263,13.110,7.6277650648360031,43.8596491228070175,59.5893508771929825,135.8637200000000000,-38.6280,0.5446,-59.5893508771929825,42.48016031266832,6.0000,2020/11/05,0.2000,深交所,可转债,AAA,17.764359
110079.SH,杭银转债,2024/11/14,125.0480,124.8800,126.0000,124.8200,125.0700,0.0220,0.01759324419422941600,231,0.759452054795,2.36986301369863013699,0.95946270088750299800,-4.9858,105.70558116396,19.364418836039988,18.319201902881385,11.350,8.8105726872246696,124.3171806167400881,0.7528193832599119,0.60556343019135365500,4.5772,0.8118,-0.7528193832599119,117.60701681769443,6.0000,2021/03/26,0.2000,上交所,可转债,AAA,141.91962
